date,temp,hum,bright
2/13/2024 5:39:26 PM,20.8,60,3
2/13/2024 5:40:27 PM,20.8,59,3
2/13/2024 5:41:26 PM,20.7,59,3
2/13/2024 5:42:27 PM,20.7,59,3
2/13/2024 5:43:26 PM,20.7,59,3
2/13/2024 5:44:26 PM,20.7,58,3
2/13/2024 5:45:26 PM,20.7,58,3
2/13/2024 5:46:26 PM,20.6,58,3
2/13/2024 5:47:26 PM,20.6,58,3
2/13/2024 5:48:26 PM,20.6,58,3
2/13/2024 5:49:26 PM,20.7,59,3
2/13/2024 5:50:26 PM,20.7,59,3
2/13/2024 5:51:26 PM,20.7,59,3
2/13/2024 5:52:27 PM,20.7,59,3
2/13/2024 5:53:26 PM,20.7,59,3
2/13/2024 5:54:26 PM,20.7,59,3
2/13/2024 5:55:26 PM,20.7,59,3
2/13/2024 5:56:26 PM,20.7,60,3
2/13/2024 5:57:27 PM,20.7,60,3
2/13/2024 5:58:27 PM,20.8,60,3
2/13/2024 5:59:27 PM,20.8,60,3
2/13/2024 6:00:26 PM,20.8,60,3
2/13/2024 6:01:26 PM,20.7,60,3
2/13/2024 6:02:26 PM,20.8,60,3
2/13/2024 6:03:26 PM,20.7,59,3
2/13/2024 6:04:26 PM,20.7,59,3
2/13/2024 6:05:26 PM,20.7,59,3
2/13/2024 6:06:26 PM,20.7,58,3
2/13/2024 6:07:26 PM,20.7,59,3
2/13/2024 6:08:27 PM,20.7,58,3
2/13/2024 6:09:26 PM,20.6,58,3
2/13/2024 6:10:26 PM,20.6,58,3
2/13/2024 6:11:26 PM,20.6,58,3
2/13/2024 6:12:26 PM,20.6,58,3
2/13/2024 6:13:26 PM,20.6,58,3
2/13/2024 6:14:27 PM,20.6,58,3
2/13/2024 6:15:26 PM,20.6,59,3
2/13/2024 6:16:26 PM,20.6,59,3
2/13/2024 6:17:26 PM,20.6,59,3
2/13/2024 6:18:26 PM,20.6,59,3
2/13/2024 6:19:26 PM,20.5,59,3
2/13/2024 6:20:26 PM,20.6,59,3
2/13/2024 6:21:26 PM,20.5,59,3
2/13/2024 6:22:26 PM,20.5,59,3
2/13/2024 6:23:27 PM,20.5,59,3
2/13/2024 6:24:26 PM,20.5,59,3
2/13/2024 6:25:26 PM,20.5,59,3
2/13/2024 6:26:26 PM,20.5,60,3
2/13/2024 6:27:27 PM,20.5,60,3
2/13/2024 6:28:26 PM,20.5,59,3
2/13/2024 6:29:26 PM,20.5,59,3
2/13/2024 6:30:26 PM,20.5,59,3
2/13/2024 6:31:26 PM,20.5,59,3
2/13/2024 6:32:26 PM,20.4,59,3
2/13/2024 6:33:26 PM,20.4,59,3
2/13/2024 6:34:26 PM,20.4,59,3
2/13/2024 6:35:26 PM,20.4,59,3
2/13/2024 6:36:26 PM,20.4,60,3
2/13/2024 6:37:26 PM,20.5,60,3
2/13/2024 6:38:26 PM,20.5,60,3
2/13/2024 6:39:26 PM,20.6,60,3
2/13/2024 6:40:26 PM,20.6,60,3
2/13/2024 6:41:26 PM,20.6,61,3
2/13/2024 6:42:26 PM,20.6,61,3
2/13/2024 6:43:26 PM,20.6,61,3
2/13/2024 6:44:26 PM,20.6,61,3
2/13/2024 6:45:26 PM,20.7,61,3
2/13/2024 6:46:26 PM,20.6,62,3
2/13/2024 6:47:26 PM,20.7,62,3
2/13/2024 6:48:27 PM,20.7,63,3
2/13/2024 6:49:26 PM,20.7,63,3
2/13/2024 6:50:26 PM,20.8,63,3
2/13/2024 6:51:26 PM,20.7,63,3
2/13/2024 6:52:26 PM,20.7,63,3
2/13/2024 6:53:26 PM,20.8,63,3
2/13/2024 6:54:26 PM,20.8,63,3
2/13/2024 6:55:27 PM,20.8,64,3
2/13/2024 6:56:26 PM,20.8,64,3
2/13/2024 6:57:26 PM,20.8,64,3
2/13/2024 6:58:26 PM,20.8,64,3
2/13/2024 6:59:26 PM,20.8,64,3
2/13/2024 7:00:26 PM,20.9,64,3
2/13/2024 7:01:26 PM,20.9,64,3
2/13/2024 7:02:26 PM,20.9,64,3
2/13/2024 7:03:26 PM,20.9,64,3
2/13/2024 7:04:26 PM,20.9,64,3
2/13/2024 7:05:26 PM,20.9,65,3
2/13/2024 7:06:26 PM,20.9,65,3
2/13/2024 7:07:26 PM,20.9,65,3
2/13/2024 7:08:27 PM,20.9,65,3
2/13/2024 7:09:27 PM,20.9,65,3
2/13/2024 7:10:27 PM,21,65,3
2/13/2024 7:11:27 PM,20.9,65,3
2/13/2024 7:12:27 PM,21,65,3
2/13/2024 7:13:26 PM,21,65,3
2/13/2024 7:14:26 PM,21,65,3
2/13/2024 7:15:26 PM,21,65,3
2/13/2024 7:16:26 PM,21,65,3
2/13/2024 7:17:26 PM,21,65,3
2/13/2024 7:18:26 PM,21,65,3
2/13/2024 7:19:26 PM,21,65,3
2/13/2024 7:20:26 PM,21,65,3
2/13/2024 7:21:26 PM,21,66,3
2/13/2024 7:22:26 PM,21,66,3
2/13/2024 7:23:26 PM,21,66,3
2/13/2024 7:24:26 PM,21.1,66,3
2/13/2024 7:25:26 PM,21.1,66,3
2/13/2024 7:26:26 PM,21.1,66,3
2/13/2024 7:27:27 PM,21.1,66,3
2/13/2024 7:28:27 PM,21.1,66,3
2/13/2024 7:29:26 PM,21.1,66,3
2/13/2024 7:30:26 PM,21.1,66,3
2/13/2024 7:31:26 PM,21.1,66,3
2/13/2024 7:32:26 PM,21.1,66,3
2/13/2024 7:33:27 PM,21.1,66,3
2/13/2024 7:34:26 PM,21.1,66,3
2/13/2024 7:35:26 PM,21.1,66,3
2/13/2024 7:36:26 PM,21.1,66,3
2/13/2024 7:37:26 PM,21.1,66,3
2/13/2024 7:38:26 PM,21.1,66,3
2/13/2024 7:39:26 PM,21.1,66,3
2/13/2024 7:40:26 PM,21.1,66,3
2/13/2024 7:41:27 PM,21.1,66,3
2/13/2024 7:42:26 PM,21.1,66,3
2/13/2024 7:43:27 PM,21.1,66,3
2/13/2024 7:44:26 PM,21.1,66,3
2/13/2024 7:45:26 PM,21.1,66,3
2/13/2024 7:46:26 PM,21.1,67,3
2/13/2024 7:47:26 PM,21.1,67,3
2/13/2024 7:48:26 PM,21.1,67,3
2/13/2024 7:49:26 PM,21.1,68,3
2/13/2024 7:50:26 PM,21.2,68,3
2/13/2024 7:51:26 PM,21.2,68,3
2/13/2024 7:52:26 PM,21.1,68,3
2/13/2024 7:53:26 PM,21.2,68,3
2/13/2024 7:54:26 PM,21.1,68,3
2/13/2024 7:55:26 PM,21.1,69,3
2/13/2024 7:56:27 PM,21.1,69,3
2/13/2024 7:57:27 PM,21.1,69,3
2/13/2024 7:58:26 PM,21.1,69,3
2/13/2024 7:59:26 PM,21.1,69,3
2/13/2024 8:00:26 PM,21.1,69,3
2/13/2024 8:01:26 PM,21.1,69,3
2/13/2024 8:02:26 PM,21.1,70,3
2/13/2024 8:03:27 PM,21.2,70,3
2/13/2024 8:04:27 PM,21.1,70,3
2/13/2024 8:05:26 PM,21.2,70,3
2/13/2024 8:06:27 PM,21.2,71,3
2/13/2024 8:07:26 PM,21.2,72,3
2/13/2024 8:08:27 PM,21.2,72,3
2/13/2024 8:09:26 PM,21.2,72,3
2/13/2024 8:10:26 PM,21.2,72,3
2/13/2024 8:11:26 PM,21.2,72,3
